emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,drink_id
0.0,0.0,0.0,0.024519341,0.0,0.0047462266,0.0,0.0,0.0,0.011019092,0.19917317,0.11757811,0.0,0.0,0.000633141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749478,0.0,0.01641478,0.033590265,0.0,0.0,0.0,0.11393232,117
0.0,0.0,0.03826888,0.037197944,0.0,0.0,0.0,0.0,0.0,0.0,0.048085924,0.07284802,0.0,0.0,0.014985561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16261758,0.0056486726,0.04936359,0.0,0.0,0.0,0.0,0.06490564,388
0.0,0.0,0.0,0.0,0.0117117725,0.0,0.0,0.0,0.0,0.0,0.068821765,0.08775222,0.0,0.0,0.06661643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19442421,0.0,0.0031373966,0.0,0.0,0.0,0.0,0.14317258,390
0.0,0.0,0.0,0.029051432,0.0,0.0,0.0,0.0,0.0,0.0,0.07352195,0.13445222,0.0,0.0,0.025728904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08874135,0.034283645,0.019486707,0.0,0.0,0.0,0.0,0.099760905,410
0.0,0.0,0.0,0.0,0.028878968,0.0,0.0,0.0,0.0,0.0,0.05904511,0.13869514,0.0,0.0,0.054787334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1172246,0.054143876,0.0,0.0,0.0,0.0,0.0,0.01160039,406
0.0,0.0,0.0,0.0701432,0.0,0.0,0.0,0.0,0.0,0.0,0.12187178,0.14814298,0.0,0.0,0.018852975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08861551,0.0,0.0,0.0,0.0,0.0,0.0,0.08085601,389
0.0,0.0,0.0,0.0390852,0.00226981,0.0,0.0,0.0,0.0,0.0,0.118288174,0.08128473,0.0,0.0,0.010305908,0.0,0.0,0.0,0.0,0.0,0.015273526,0.0,0.0,0.0,0.15558572,0.0,0.07734339,0.0,0.0,0.0,0.0,0.024723396,392
0.0,0.0,0.0,0.0,0.0,0.0016838303,0.0,0.0,0.0,0.0,0.19543864,0.10473954,0.0,0.0,0.038768914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08869137,0.0,0.052372698,0.0,0.0,0.0,0.0,0.14890388,404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10738492,0.035262644,0.0,0.0,0.060716648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10494085,0.0,0.07162185,0.0,0.0,0.0,0.0,0.10699882,402
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104115725,0.0,0.0,0.0,0.04888997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14918041,0.0,0.09944567,0.0,0.0,0.0,0.0,0.07684725,399
